Date,Dish TV,Infosys,Hindustan Unilever,Vodafone Idea,Cipla
26-09-2022,19,1360,2668,9,1066
03-10-2022,18,1412,2723,9,1117
10-10-2022,18,1426,2570,9,1110
17-10-2022,17,1477,2574,8,1108
24-10-2022,17,1518,2610,9,1146
31-10-2022,16,1530,2545,9,1161
07-11-2022,16,1521,2531,8,1146
14-11-2022,16,1575,2507,9,1124
21-11-2022,16,1582,2484,8,1105
28-11-2022,21,1628,2527,8,1100
05-12-2022,23,1638,2600,8,1114
12-12-2022,22,1550,2702,8,1105
19-12-2022,20,1508,2671,8,1090
26-12-2022,17,1500,2621,8,1127
02-01-2023,18,1514,2574,8,1080
09-01-2023,18,1448,2589,8,1082
16-01-2023,18,1510,2628,7,1070
23-01-2023,18,1535,2560,7,1053
30-01-2023,16,1529,2610,6,1057
06-02-2023,15,1598,2631,8,1020
13-02-2023,14,1597,2560,8,1036
20-02-2023,14,1585,2518,7,998
27-02-2023,14,1540,2487,7,966
06-03-2023,15,1495,2482,7,885
13-03-2023,16,1464,2466,7,883
20-03-2023,15,1420,2447,6,874
27-03-2023,14,1386,2485,6,881
03-04-2023,13,1435,2570,6,910
10-04-2023,13,1424,2565,6,897
17-04-2023,13,1250,2573,6,915
24-04-2023,16,1228,2502,6,916
01-05-2023,16,1253,2457,7,908
08-05-2023,16,1262,2506,7,927
15-05-2023,15,1250,2638,7,940
22-05-2023,15,1273,2635,7,916
29-05-2023,14,1333,2670,7,952
05-06-2023,14,1304,2716,7,970
12-06-2023,14,1274,2645,7,973
19-06-2023,14,1294,2702,8,1006
26-06-2023,15,1270,2642,8,989
03-07-2023,15,1330,2687,8,1020
10-07-2023,18,1337,2710,8,1024
17-07-2023,20,1426,2670,7,1036
24-07-2023,19,1341,2604,8,1049
31-07-2023,18,1349,2575,8,1182
07-08-2023,18,1388,2540,8,1195
14-08-2023,20,1372,2502,8,1250
21-08-2023,19,1390,2555,8,1237
28-08-2023,19,1420,2565,9,1212
04-09-2023,18,1443,2514,10,1250
11-09-2023,21,1470,2514,11,1245
18-09-2023,20,1505,2471,12,1241
25-09-2023,18,1490,2482,11,1186
02-10-2023,18,1435,2466,12,1186
09-10-2023,18,1465,2485,11,1159
16-10-2023,18,1432,2560,12,1166
23-10-2023,18,1426,2494,12,1200
30-10-2023,17,1380,2471,11,1186
06-11-2023,17,1394,2515,14,1212
13-11-2023,18,1380,2477,14,1243
20-11-2023,20,1442,2534,15,1242
27-11-2023,20,1437,2515,13,1199
04-12-2023,19,1460,2577,13,1212
11-12-2023,19,1490,2522,13,1218
18-12-2023,21,1568,2520,14,1206
25-12-2023,20,1563,2576,14,1236
01-01-2024,18,1539,2664,16,1252
08-01-2024,22,1529,2625,17,1297
15-01-2024,23,1645,2546,16,1316
22-01-2024,20,1659,2565,15,1328
29-01-2024,19,1665,2410,15,1365
05-02-2024,20,1695,2464,14,1401
12-02-2024,21,1670,2424,16,1440
19-02-2024,24,1705,2390,16,1445
26-02-2024,24,1675,2391,18,1474
04-03-2024,22,1658,2416,15,1483
11-03-2024,20,1608,2409,14,1493
18-03-2024,18,1630,2321,13,1489
25-03-2024,18,1509,2257,13,1481
